year,month,day,creator,cityFrom,coordinatesFrom,regionFrom,countryFrom,addressees,cityTo,coordinatesTo,regionTo,countryTo,destination,flags,language,peopleMentioned
1657,7,27,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,,,,"German, Latin","Rülz, Johann ~ Moriaen, Johann ~ de Geer, Laurentius ~ Sophie Amalie of Brunswick-Lüneburg, Queen of Denmark and Norway ~ George, Prince of Denmark and Norway ~ John II Casimir Vasa, King of Poland"
1657,8,3,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,,,,Latin,"Rülz, Johann ~ Karl X Gustav, King of Sweden ~ Kotter, Christoph ~ Hübner, Joachim ~ Gribius, Peter ~ Starke, Johanes (fl. 1657)"
1657,8,10,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,,,,"German, Latin","Hesenthaler, Magnus ~ Horn, Georg ~ Vetter, Daniel ~ de Geer, Laurentius ~ Rülz, Johann ~ Hotton, Goddofred ~ Moriaen, Johann ~ Ulrich, Johann Jacob ~ Pell, John ~ Redinger, Johannes Jacob ~ Figulus, Petr ~ Karl X Gustav, King of Sweden ~ Heinlin, Johann Jacob"
1657,8,24,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,,,Destination INFERRED.,Latin,"de Geer, Laurentius ~ Hesenthaler, Magnus ~ Horn, Georg ~ Vetter, Daniel"
1657,10,1,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,,,Date of work UNCERTAIN. (Date of work as marked: 21/31 Sept. 1657 [1657 21/9 1/10?]),"German, Latin","Hesenthaler, Magnus ~ Horn, Georg ~ Andreae, Tobias ~ Figulus, Petr ~ Schaum, Constantine ~ Rákóczi, György II ~ Blake, Robert (Admiral) ~ de Geer, Laurentius ~ Vetter, Daniel ~ Peter, Hugh ~ Rülz, Johann ~ Barbette, Paul ~ Bonet, Andrè Nicolaus (fl. 1654-59) ~ Schikard, Friedrich (fl. 1657) ~ Leszczyński, Bogusław"
1657,10,10,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Peter, Hugh",London,"51.50853, -0.12574",England,,,Destination INFERRED. Destination UNCERTAIN.,Latin,"Cromwell, Oliver (Colonel) ~ Laud, William ~ Wyclife, John ~ Hus, Jan"
1657,10,10,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,,,Destination INFERRED. Destination UNCERTAIN.,Latin,"Hartlib, Samuel ~ Suatosius, John (fl. 1639-60)"
1657,10,12,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,,,,Latin,"Vetter, Daniel ~ Figulus, Petr ~ Schaum, Constantine ~ Rülz, Johann ~ Hartmann, Paul ~ Podivín, Václav (fl.1656-58) ~ Busch, Ian Iason van (fl. 1657)"
1657,12,18,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Arnold, Nicholas",Franeker,"53.18546, 5.54123",Friesland,(United Provinces) Netherlands,,Destination INFERRED.,Latin,"Figulus, Petr"
1657,9,10,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Calamy, Edmund",Elbing,"54.1560613, 19.4044897",Warmian-Masurian Voivodeship,(Royal Prussia) Poland,,Destination INFERRED. Destination UNCERTAIN.,Latin,"Dury, John ~ Hartmann, Adam Samuel ~ Cyrillus, Paul (fl. 1642-58)"
1657,3,24,"Schmettau, Heinrich",Wrocław,"51.1, 17.03333",(Silesia) Poland,,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,Destination INFERRED.,Latin,
1657,8,13,"Melisch, Stephan",Wrocław,"51.1, 17.03333",(Silesia) Poland,,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,,Czech,"Długosz, Marcin (fl. 1657) ~ Schlichting, Johann Georg von ~ Felín, Jan"
1657,10,27,"Schaum, Constantine",Makovice,"48.12597, 22.79418",Chetfalva,Zakarpatia,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,,Latin,"Rákóczi, György II ~ Kemény, János"
1657,11,30,"Schaum, Constantine",Makovice,"48.12597, 22.79418",Chetfalva,Zakarpatia,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,Origin INFERRED. ~ Destination INFERRED.,Latin,"Rákóczi, György II ~ Sapieha, Lew ~ Kemény, János ~ Rhédey, Ferenc ~ Charles II, King of England, Scotland, and Ireland ~ Cromwell, Oliver (Colonel) ~Louis XIV, King of France"
1657,1,14,"Sadovský ze Sloupna, Jan Jiří",London,"51.50853, -0.12574",England,,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,,Latin,"Cyrillus, Paul (fl. 1642-58) ~ Hartmann, Adam Samuel"
1657,2,14,"Felín, Jan ~ Vetter, Daniel (fl. 1663) ~ Nigrin, Johannes (fl. 1657) ~ Prácheňský, Václav, fl. 1657",Brieg,"50.86079, 17.4674",Opole Voivodeship,Poland,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,,Latin,
